Date,Tos,Hos,Tug,Hog,Tug12,Hug12
11/13/24 7:40 AM,18.4,96,19.8,99,24.1,83
11/13/24 7:50 AM,18.8,96,19.9,99,24.1,83
11/13/24 8:00 AM,19.1,94,19.9,99,24,83
11/13/24 8:10 AM,19.5,93,20.1,99,24,83
11/13/24 8:20 AM,20,89,20.2,99,24,83
11/13/24 8:30 AM,20.5,87,20.4,99,24,83
11/13/24 8:40 AM,21,87,20.7,99,24,83
11/13/24 8:50 AM,21.4,85,20.9,99,24,83
11/13/24 9:00 AM,22.2,84,21.1,99,24,83
11/13/24 9:10 AM,22.7,81,21.4,99,24,83
11/13/24 9:20 AM,23.1,79,21.6,99,23.9,83
11/13/24 9:30 AM,23.7,74,21.9,99,23.9,83
11/13/24 9:40 AM,24.2,72,22.3,99,23.9,83
11/13/24 9:50 AM,25,68,22.5,99,23.9,83
11/13/24 10:00 AM,25.6,68,22.7,99,23.9,83
11/13/24 10:10 AM,26.2,66,23,99,23.9,83
11/13/24 10:20 AM,26.5,63,23.2,99,23.9,83
11/13/24 10:30 AM,26.9,60,23.5,99,23.9,83
11/13/24 10:40 AM,27.2,60,23.7,99,23.9,83
11/13/24 10:50 AM,27.5,59,23.9,99,23.9,83
11/13/24 11:00 AM,27.7,57,24,99,23.9,83
11/13/24 11:10 AM,28.1,57,24.2,99,23.9,83
11/13/24 11:20 AM,28.5,55,24.3,99,23.9,83
11/13/24 11:30 AM,28.7,52,24.5,99,23.9,83
11/13/24 11:40 AM,28.7,52,24.6,99,23.9,83
11/13/24 11:50 AM,28.7,50,24.4,99,23.9,83
11/13/24 12:00 PM,28.9,51,24.3,99,23.9,83
11/13/24 12:10 PM,29.2,53,24.4,99,23.9,83
11/13/24 12:20 PM,29.6,52,24.3,99,23.9,83
11/13/24 12:30 PM,29.2,52,24.4,99,23.9,83
11/13/24 12:40 PM,29.4,53,24.4,99,23.9,83
11/13/24 12:50 PM,29.9,51,24.4,99,23.9,83
11/13/24 1:00 PM,30,52,24.3,99,23.9,83
11/13/24 1:10 PM,29.7,51,24.3,99,24,83
11/13/24 1:20 PM,29.7,52,24.2,99,24,83
11/13/24 1:30 PM,29.3,52,24.2,99,24,83
11/13/24 1:40 PM,29.5,53,24.2,99,24,83
11/13/24 1:50 PM,29.2,53,24.3,99,24,83
11/13/24 2:00 PM,29,53,24.2,99,24,83
11/13/24 2:10 PM,28.8,54,24.2,99,24,83
11/13/24 2:20 PM,29.1,54,24.1,99,24,83
11/13/24 2:30 PM,28.7,55,24.1,99,24,83
11/13/24 2:40 PM,28.5,55,24.1,99,24,83
11/13/24 2:50 PM,28.2,57,24,99,24.1,83
11/13/24 3:00 PM,28,57,24,99,24.1,83
11/13/24 3:10 PM,27.8,57,23.9,99,24.1,83
11/13/24 3:20 PM,27.6,58,23.8,99,24.1,83
11/13/24 3:30 PM,27.3,59,23.7,99,24.1,83
11/13/24 3:40 PM,27.2,59,23.7,99,24.1,83
11/13/24 3:50 PM,26.9,61,23.6,99,24.1,83
11/13/24 4:00 PM,26.6,61,23.5,99,24.1,83
11/13/24 4:10 PM,26.3,62,23.4,99,24.1,83
11/13/24 4:20 PM,26,64,23.3,99,24.2,83
11/13/24 4:30 PM,25.7,65,23.2,99,24.2,83
11/13/24 4:40 PM,25.3,67,23.1,99,24.2,83
11/13/24 4:50 PM,25,68,23,99,24.2,83
11/13/24 5:00 PM,24.7,69,22.9,99,24.2,83
11/13/24 5:10 PM,24.3,70,22.8,99,24.2,83
11/13/24 5:20 PM,23.9,71,22.7,99,24.2,83
11/13/24 5:30 PM,23.5,73,22.6,99,24.2,83
11/13/24 5:40 PM,23.2,75,22.5,99,24.2,83
11/13/24 5:50 PM,23,75,22.4,99,24.3,83
11/13/24 6:00 PM,22.9,76,22.3,99,24.3,83
11/13/24 6:10 PM,22.7,76,22.2,99,24.3,83
11/13/24 6:20 PM,22.5,77,22.2,99,24.3,83
11/13/24 6:30 PM,22.3,78,22.1,99,24.3,83
11/13/24 6:40 PM,22.1,78,22,99,24.3,83
11/13/24 6:50 PM,21.9,79,22,99,24.3,83
11/13/24 7:00 PM,21.8,80,21.9,99,24.3,83
11/13/24 7:10 PM,21.6,80,21.8,99,24.3,83
11/13/24 7:20 PM,21.5,81,21.8,99,24.3,83
11/13/24 7:30 PM,21.3,82,21.8,99,24.3,83
11/13/24 7:40 PM,21.3,82,21.7,99,24.3,83
11/13/24 7:50 PM,21.2,83,21.7,99,24.3,83
11/13/24 8:00 PM,21.1,83,21.6,99,24.3,83
11/13/24 8:10 PM,21.1,84,21.6,99,24.3,83
11/13/24 8:20 PM,21,84,21.5,99,24.3,83
11/13/24 8:30 PM,20.9,85,21.5,99,24.3,83
11/13/24 8:40 PM,20.8,85,21.5,99,24.3,83
11/13/24 8:50 PM,20.7,85,21.5,99,24.3,84
11/13/24 9:00 PM,20.7,86,21.4,99,24.3,84
11/13/24 9:10 PM,20.8,87,21.4,99,24.3,84
11/13/24 9:20 PM,20.8,87,21.4,99,24.3,84
11/13/24 9:30 PM,20.8,88,21.4,99,24.3,84
11/13/24 9:40 PM,20.8,89,21.4,99,24.3,84
11/13/24 9:50 PM,20.8,89,21.4,99,24.3,84
11/13/24 10:00 PM,20.6,90,21.3,99,24.3,84
11/13/24 10:10 PM,20.5,90,21.3,99,24.3,84
11/13/24 10:20 PM,20.4,91,21.3,99,24.3,84
11/13/24 10:30 PM,20.2,92,21.3,99,24.3,84
11/13/24 10:40 PM,20.1,93,21.3,99,24.3,84
11/13/24 10:50 PM,20,93,21.2,99,24.3,84
11/13/24 11:00 PM,20,94,21.2,99,24.3,84
11/13/24 11:10 PM,20,93,21.2,99,24.2,84
11/13/24 11:20 PM,19.9,94,21.2,99,24.3,84
11/13/24 11:30 PM,19.8,95,21.2,99,24.2,84
